"name","title","original_link","year","month","day"
네이버,"네이버 2024년 상반기 숏폼 서비스 ‘클립’ 창작자 모집, 12억 혜택 내걸어",https://www.businesspost.co.kr/BP?command=article_view&num=337187,2023,12,25
네이버,"네이버, ‘프로젝트 꽃’ 함께할 AI 스타트업 발굴 나선다",http://www.segyebiz.com/newsView/20231221518158?OutUrl=naver,2023,12,21
네이버,네이버 '치지직' 출격…트위치 빈자리 차지할까,https://n.news.naver.com/mnews/article/015/0004926600?sid=105,2023,12,18
네이버,"네이버, '치지직'으로 트위치 떠난 韓 스트리밍 시장 잡을 수 있을까?... ""아...",https://kr.aving.net/news/articleView.html?idxno=1786700,2023,12,8
네이버,"네이버, 통합검색에 생성형AI '큐' 적용",http://www.dailyimpact.co.kr/news/articleView.html?idxno=107441,2023,12,2
네이버,"네이버 ""허위 리뷰·어뷰징 차단"" 다크패턴 방지책 논의",http://www.safetimes.co.kr/news/articleView.html?idxno=210570,2023,11,29
네이버,"네이버, 내년 총선 앞두고 내세운 댓글 강화 정책 결국 철회",https://n.news.naver.com/mnews/article/023/0003800188?sid=105,2023,11,20
네이버,네이버 세종 데이터센터 개소… 로봇-AI 등 첨단 역량 결집,https://n.news.naver.com/mnews/article/020/0003530144?sid=105,2023,11,9
네이버,"네이버, 소상공인 비즈니스 돕는 기술 솔루션 소개 위한 ‘프로젝트 꽃’ 부스...",https://n.news.naver.com/mnews/article/117/0003784832?sid=103,2023,11,3
네이버,"네이버, ‘브랜드 런처’ SME와 상생기획전 진행",https://n.news.naver.com/mnews/article/022/0003869248?sid=105,2023,10,28
네이버,"네이버, '2023 ESG 평가' A+ 등급…작년보다 상향",http://www.metroseoul.co.kr/article/20231027500344,2023,10,27
네이버,네이버 앱으로 무인매장 출입부터 결제까지 '한 번에',https://n.news.naver.com/mnews/article/092/0002309447?sid=105,2023,10,27
네이버,"사우디 간 네이버, 글로벌 AI 첫발 디딘다",https://www.newsway.co.kr/news/view?ud=2023102316500308968,2023,10,23
네이버,"네이버 검색서비스 인터페이스 개편, ""인공지능 검색 도입 위한 사전작업""",https://www.businesspost.co.kr/BP?command=article_view&num=330540,2023,10,20
네이버,"네이버-카카오, 플랫폼업계 3분기 실적 ‘희비’ 전망",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202310161446075220361,2023,10,16
네이버,"네이버쇼핑, 원산지 속임 증가 지적에 ""감독·처벌 강화"" 약속",https://n.news.naver.com/mnews/article/092/0002307705?sid=105,2023,10,12
네이버,"[2023 국감] 다른 사람 주민번호 입력해도 서비스 이용?…네이버 ""시정""",https://n.news.naver.com/mnews/article/031/0000778721?sid=105,2023,10,12
네이버,"네이버, 쇼핑과 플레이스 이어 블로그 인증까지...건강한 리뷰 생태계 구축 주...",https://n.news.naver.com/mnews/article/030/0003141228?sid=101,2023,10,3
네이버,"네이버, 뉴스 페이지 바꿨다…최상단에 정정보도 노출",https://n.news.naver.com/mnews/article/025/0003310937?sid=105,2023,9,27
네이버,소상공인 상생한다던 네이버 “자필 소명서 내라” 갑질 논란,https://n.news.naver.com/mnews/article/023/0003790291?sid=105,2023,9,27
네이버,"네이버·카카오, 86분기 연속 흑자 달성…네이버 평균영업율 39.3%",https://www.ceoscoredaily.com/page/view/2023092114164752931,2023,9,23
네이버,"네이버 어학사전, 예술경영지원센터와 협업… ‘한국미술 다국어 용어사전’ ...",https://n.news.naver.com/mnews/article/022/0003858520?sid=105,2023,9,23
네이버,"외국어 교육 혁신 나선 네이버, AI 기술에 스타트업 노하우 접목",https://n.news.naver.com/mnews/article/008/0004941895?sid=101,2023,9,22
